year,prefecture,total_production,general_production,tokumei_ratio,source
2021,北海道,2840.0,997.0,0.648943661971831,seizojokyo
2021,青森,2622.0,471.0,0.8203661327231121,seizojokyo
2021,岩手,2117.0,503.0,0.7623996221067548,seizojokyo
2021,宮城,4475.0,211.0,0.9528491620111732,seizojokyo
2021,秋田,11605.0,5295.0,0.5437311503662214,seizojokyo
2021,山形,5614.0,479.0,0.9146775917349483,seizojokyo
2021,福島,6637.0,1636.0,0.7535030887449149,seizojokyo
2021,茨城,1891.0,849.0,0.5510312004230565,seizojokyo
2021,栃木,6039.0,3840.0,0.3641331346249379,seizojokyo
2021,群馬,1672.0,443.0,0.7350478468899522,seizojokyo
2021,埼玉,14958.0,12863.0,0.14005883139457145,seizojokyo
2021,千葉,5412.0,4418.0,0.18366592756836658,seizojokyo
2021,東京,927.0,146.0,0.8425026968716289,seizojokyo
2021,神奈川,493.0,48.0,0.9026369168356998,seizojokyo
2021,新潟,26370.0,6595.0,0.7499051952976867,seizojokyo
2021,富山,2214.0,484.0,0.7813911472448057,seizojokyo
2021,石川,2829.0,300.0,0.8939554612937434,seizojokyo
2021,福井,2184.0,492.0,0.7747252747252747,seizojokyo
2021,山梨,6698.0,4267.0,0.3629441624365482,seizojokyo
2021,長野,5002.0,1470.0,0.7061175529788085,seizojokyo
2021,岐阜,2895.0,783.0,0.7295336787564767,seizojokyo
2021,静岡,2679.0,363.0,0.864501679731243,seizojokyo
2021,愛知,7604.0,6213.0,0.18293003682272488,seizojokyo
2021,三重,1731.0,162.0,0.9064124783362218,seizojokyo
2021,滋賀,2435.0,1520.0,0.3757700205338809,seizojokyo
2021,京都,50263.0,39933.0,0.20551897021666038,seizojokyo
2021,大阪,461.0,92.0,0.8004338394793926,seizojokyo
2021,兵庫,91794.0,68075.0,0.2583937948014031,seizojokyo
2021,奈良,1868.0,312.0,0.8329764453961456,seizojokyo
2021,和歌山,1420.0,271.0,0.8091549295774648,seizojokyo
2021,鳥取,353.0,59.0,0.8328611898016998,seizojokyo
2021,島根,908.0,159.0,0.8248898678414097,seizojokyo
2021,岡山,983.0,277.0,0.7182095625635809,seizojokyo
2021,広島,5730.0,2640.0,0.5392670157068062,seizojokyo
2021,山口,6429.0,338.0,0.947425727173744,seizojokyo
2021,徳島,263.0,21.0,0.9201520912547528,seizojokyo
2021,香川,542.0,78.0,0.8560885608856088,seizojokyo
2021,愛媛,809.0,331.0,0.5908529048207664,seizojokyo
2021,高知,3241.0,730.0,0.7747608762727554,seizojokyo
2021,福岡,2070.0,520.0,0.748792270531401,seizojokyo
2021,佐賀,1656.0,266.0,0.8393719806763285,seizojokyo
2021,長崎,504.0,151.0,0.7003968253968254,seizojokyo
2021,熊本,473.0,,,seizojokyo
2021,大分,1056.0,621.0,0.4119318181818182,seizojokyo
2022,北海道,2738.0,855.0,0.6877282688093499,seizojokyo
2022,青森,2549.0,312.0,0.8775990584542958,seizojokyo
2022,岩手,2336.0,464.0,0.8013698630136986,seizojokyo
2022,宮城,5515.0,224.0,0.9593834995466909,seizojokyo
2022,秋田,11981.0,4902.0,0.5908521826224856,seizojokyo
2022,山形,6171.0,675.0,0.8906174039863879,seizojokyo
2022,福島,6874.0,1829.0,0.7339249345359325,seizojokyo
2022,茨城,2064.0,786.0,0.6191860465116279,seizojokyo
2022,栃木,6588.0,3934.0,0.4028536733454766,seizojokyo
2022,群馬,1810.0,543.0,0.7,seizojokyo
2022,埼玉,19391.0,16656.0,0.14104481460471352,seizojokyo
2022,千葉,5381.0,4085.0,0.2408474261289723,seizojokyo
2022,東京,1020.0,225.0,0.7794117647058824,seizojokyo
2022,神奈川,766.0,53.0,0.9308093994778068,seizojokyo
2022,新潟,28727.0,7045.0,0.7547603300031329,seizojokyo
2022,富山,2464.0,602.0,0.7556818181818182,seizojokyo
2022,石川,3117.0,222.0,0.9287776708373436,seizojokyo
2022,福井,2401.0,497.0,0.793002915451895,seizojokyo
2022,山梨,7547.0,4685.0,0.37922353252948193,seizojokyo
2022,長野,5721.0,1743.0,0.6953329837441007,seizojokyo
2022,岐阜,2855.0,727.0,0.7453590192644484,seizojokyo
2022,静岡,3093.0,357.0,0.8845780795344326,seizojokyo
2022,愛知,8693.0,6776.0,0.22052225928908317,seizojokyo
2022,三重,1808.0,141.0,0.9220132743362832,seizojokyo
2022,滋賀,2250.0,1158.0,0.48533333333333334,seizojokyo
2022,京都,50866.0,39312.0,0.22714583415247908,seizojokyo
2022,大阪,522.0,95.0,0.8180076628352491,seizojokyo
2022,兵庫,90276.0,69887.0,0.22585183215915636,seizojokyo
2022,奈良,2192.0,366.0,0.833029197080292,seizojokyo
2022,和歌山,1850.0,599.0,0.6762162162162162,seizojokyo
2022,鳥取,477.0,90.0,0.8113207547169812,seizojokyo
2022,島根,1313.0,197.0,0.84996191926885,seizojokyo
2022,岡山,1303.0,342.0,0.7375287797390637,seizojokyo
2022,広島,6055.0,2782.0,0.5405450041288191,seizojokyo
2022,山口,7105.0,340.0,0.952146375791696,seizojokyo
2022,徳島,246.0,18.0,0.926829268292683,seizojokyo
2022,香川,629.0,79.0,0.8744038155802861,seizojokyo
2022,愛媛,900.0,308.0,0.6577777777777778,seizojokyo
2022,高知,3786.0,843.0,0.777337559429477,seizojokyo
2022,福岡,2261.0,576.0,0.7452454666076958,seizojokyo
2022,佐賀,2036.0,396.0,0.8055009823182712,seizojokyo
2022,長崎,666.0,241.0,0.6381381381381381,seizojokyo
2022,熊本,691.0,,,seizojokyo
2022,大分,1032.0,488.0,0.5271317829457365,seizojokyo
2023,北海道,2884.0,949.0,0.6709431345353676,seizojokyo
2023,青森,2864.0,573.0,0.7999301675977654,seizojokyo
2023,岩手,2529.0,498.0,0.8030842230130486,seizojokyo
2023,宮城,5197.0,203.0,0.9609390032711179,seizojokyo
2023,秋田,11507.0,5097.0,0.5570522290779526,seizojokyo
2023,山形,6267.0,728.0,0.8838359661720121,seizojokyo
2023,福島,6478.0,1588.0,0.7548626119172585,seizojokyo
2023,茨城,2077.0,758.0,0.635050553683197,seizojokyo
2023,栃木,6544.0,3546.0,0.45812958435207823,seizojokyo
2023,群馬,1820.0,442.0,0.7571428571428571,seizojokyo
2023,埼玉,15681.0,13347.0,0.1488425483068682,seizojokyo
2023,千葉,5361.0,3964.0,0.2605857116209662,seizojokyo
2023,東京,1039.0,205.0,0.8026948989412896,seizojokyo
2023,神奈川,826.0,83.0,0.8995157384987893,seizojokyo
2023,新潟,27689.0,7705.0,0.7217306511611109,seizojokyo
2023,富山,3016.0,906.0,0.6996021220159151,seizojokyo
2023,石川,3333.0,247.0,0.9258925892589259,seizojokyo
2023,福井,2421.0,556.0,0.7703428335398596,seizojokyo
2023,山梨,7438.0,4388.0,0.4100564667921484,seizojokyo
2023,長野,5922.0,1678.0,0.7166497804795677,seizojokyo
2023,岐阜,3245.0,860.0,0.7349768875192604,seizojokyo
2023,静岡,2849.0,411.0,0.8557388557388558,seizojokyo
2023,愛知,8770.0,6843.0,0.21972633979475484,seizojokyo
2023,三重,1967.0,192.0,0.9023894255210981,seizojokyo
2023,滋賀,1939.0,917.0,0.5270758122743683,seizojokyo
2023,京都,51087.0,42406.0,0.16992581282909547,seizojokyo
2023,大阪,628.0,106.0,0.8312101910828026,seizojokyo
2023,兵庫,81102.0,64679.0,0.20249808882641612,seizojokyo
2023,奈良,2214.0,299.0,0.8649503161698283,seizojokyo
2023,和歌山,1659.0,495.0,0.701627486437613,seizojokyo
2023,鳥取,436.0,67.0,0.8463302752293578,seizojokyo
2023,島根,1464.0,300.0,0.7950819672131147,seizojokyo
2023,岡山,1154.0,320.0,0.7227036395147314,seizojokyo
2023,広島,5687.0,2403.0,0.5774573588886935,seizojokyo
2023,山口,6830.0,288.0,0.9578330893118594,seizojokyo
2023,徳島,255.0,19.0,0.9254901960784314,seizojokyo
2023,香川,616.0,62.0,0.8993506493506493,seizojokyo
2023,愛媛,909.0,289.0,0.682068206820682,seizojokyo
2023,高知,3800.0,952.0,0.7494736842105263,seizojokyo
2023,福岡,2319.0,548.0,0.7636912462268219,seizojokyo
2023,佐賀,2030.0,435.0,0.7857142857142857,seizojokyo
2023,長崎,715.0,201.0,0.7188811188811188,seizojokyo
2023,熊本,756.0,,,seizojokyo
2023,大分,1129.0,600.0,0.4685562444641275,seizojokyo
2024,北海道,3053.0,903.0,0.704225352112676,seizojokyo
2024,青森,3014.0,557.0,0.8151957531519576,seizojokyo
2024,岩手,2440.0,452.0,0.8147540983606557,seizojokyo
2024,宮城,4645.0,200.0,0.9569429494079655,seizojokyo
2024,秋田,10736.0,4206.0,0.6082339791356185,seizojokyo
2024,山形,5633.0,607.0,0.892242144505592,seizojokyo
2024,福島,6365.0,1357.0,0.786802827965436,seizojokyo
2024,茨城,1933.0,765.0,0.6042421107087429,seizojokyo
2024,栃木,5638.0,3179.0,0.4361475700603051,seizojokyo
2024,群馬,1439.0,481.0,0.6657400972897846,seizojokyo
2024,埼玉,17286.0,14534.0,0.15920398009950248,seizojokyo
2024,千葉,5629.0,4228.0,0.24888967845087936,seizojokyo
2024,東京,1033.0,264.0,0.744433688286544,seizojokyo
2024,神奈川,889.0,106.0,0.8807649043869517,seizojokyo
2024,新潟,25109.0,6732.0,0.7318889641164523,seizojokyo
2024,富山,2939.0,621.0,0.7887036406941137,seizojokyo
2024,石川,3587.0,344.0,0.9040981321438528,seizojokyo
2024,福井,2255.0,455.0,0.7982261640798226,seizojokyo
2024,山梨,7441.0,4021.0,0.45961564305872865,seizojokyo
2024,長野,5616.0,1549.0,0.7241809116809117,seizojokyo
2024,岐阜,3027.0,822.0,0.7284440039643211,seizojokyo
2024,静岡,2773.0,438.0,0.8420483231157591,seizojokyo
2024,愛知,8411.0,6442.0,0.2340982047318987,seizojokyo
2024,三重,1803.0,146.0,0.9190238491403216,seizojokyo
2024,滋賀,1599.0,585.0,0.6341463414634146,seizojokyo
2024,京都,43245.0,35081.0,0.18878483061625623,seizojokyo
2024,大阪,552.0,112.0,0.7971014492753623,seizojokyo
2024,兵庫,76957.0,58970.0,0.23372792598464076,seizojokyo
2024,奈良,2055.0,289.0,0.859367396593674,seizojokyo
2024,和歌山,1494.0,372.0,0.751004016064257,seizojokyo
2024,鳥取,400.0,50.0,0.875,seizojokyo
2024,島根,1289.0,241.0,0.813033359193173,seizojokyo
2024,岡山,1166.0,265.0,0.7727272727272727,seizojokyo
2024,広島,5137.0,2275.0,0.5571345143079618,seizojokyo
2024,山口,6971.0,294.0,0.9578252761440252,seizojokyo
2024,徳島,306.0,25.0,0.9183006535947712,seizojokyo
2024,香川,652.0,76.0,0.8834355828220859,seizojokyo
2024,愛媛,874.0,324.0,0.6292906178489702,seizojokyo
2024,高知,3564.0,885.0,0.7516835016835017,seizojokyo
2024,福岡,2105.0,408.0,0.8061757719714965,seizojokyo
2024,佐賀,1931.0,368.0,0.8094251683065768,seizojokyo
2024,長崎,612.0,191.0,0.6879084967320261,seizojokyo
2024,熊本,736.0,,,seizojokyo
2024,大分,1174.0,584.0,0.5025553662691652,seizojokyo
