year,prefecture,business_count,domestic_volume_kl,domestic_amount_mil,export_volume_kl,export_amount_mil,export_ratio_volume_pct,export_ratio_amount_pct,source
2019,北海道,13.0,4110.0,4391.0,236.0,284.0,,,新概況 r02
2019,青森,16.0,4678.0,4130.0,98.0,79.0,,,新概況 r02
2019,岩手,21.0,4855.0,4321.0,129.0,162.0,,,新概況 r02
2019,宮城,26.0,8152.0,7756.0,55.0,167.0,,,新概況 r02
2019,秋田,33.0,14838.0,11733.0,292.0,347.0,,,新概況 r02
2019,山形,49.0,9277.0,10195.0,313.0,395.0,,,新概況 r02
2019,福島,56.0,13825.0,11323.0,115.0,123.0,,,新概況 r02
2019,茨城,36.0,4485.0,3969.0,83.0,95.0,,,新概況 r02
2019,栃木,31.0,8119.0,4963.0,434.0,183.0,,,新概況 r02
2019,群馬,16.0,1741.0,1640.0,33.0,41.0,,,新概況 r02
2019,埼玉,27.0,18748.0,12128.0,210.0,95.0,,,新概況 r02
2019,新潟,85.0,40345.0,37481.0,1264.0,967.0,,,新概況 r02
2019,長野,75.0,10163.0,9382.0,170.0,209.0,,,新概況 r02
2019,千葉,26.0,12901.0,5767.0,133.0,106.0,,,新概況 r02
2019,東京,11.0,1512.0,1613.0,84.0,61.0,,,新概況 r02
2019,神奈川,9.0,655.0,802.0,1.0,1.0,,,新概況 r02
2019,山梨,11.0,1008.0,1164.0,1.0,1.0,,,新概況 r02
2019,富山,17.0,3809.0,3877.0,30.0,45.0,,,新概況 r02
2019,石川,22.0,11496.0,5537.0,132.0,168.0,,,新概況 r02
2019,福井,25.0,3000.0,4193.0,192.0,368.0,,,新概況 r02
2019,岐阜,42.0,3231.0,3262.0,104.0,78.0,,,新概況 r02
2019,静岡,28.0,3956.0,4226.0,307.0,305.0,,,新概況 r02
2019,愛知,32.0,11910.0,7117.0,412.0,202.0,,,新概況 r02
2019,三重,29.0,2239.0,2583.0,31.0,54.0,,,新概況 r02
2019,滋賀,29.0,3298.0,2306.0,43.0,65.0,,,新概況 r02
2019,京都,35.0,64804.0,36566.0,3225.0,1875.0,,,新概況 r02
2019,大阪,15.0,915.0,1141.0,42.0,222.0,,,新概況 r02
2019,兵庫,60.0,107477.0,58568.0,7241.0,3097.0,,,新概況 r02
2019,奈良,30.0,4098.0,2765.0,374.0,196.0,,,新概況 r02
2019,和歌山,11.0,3235.0,1946.0,54.0,38.0,,,新概況 r02
2019,鳥取,17.0,821.0,960.0,18.0,34.0,,,新概況 r02
2019,島根,27.0,2157.0,2411.0,20.0,22.0,,,新概況 r02
2019,岡山,36.0,2494.0,2444.0,54.0,51.0,,,新概況 r02
2019,広島,38.0,8771.0,7344.0,155.0,185.0,,,新概況 r02
2019,山口,32.0,7982.0,14599.0,368.0,1059.0,,,新概況 r02
2019,徳島,15.0,437.0,436.0,27.0,28.0,,,新概況 r02
2019,香川,4.0,1057.0,975.0,15.0,19.0,,,新概況 r02
2019,愛媛,33.0,1649.0,1782.0,19.0,46.0,,,新概況 r02
2019,高知,17.0,5098.0,4565.0,97.0,102.0,,,新概況 r02
2019,福岡,44.0,4093.0,4036.0,335.0,552.0,,,新概況 r02
2019,佐賀,20.0,3216.0,3375.0,66.0,98.0,,,新概況 r02
2019,長崎,12.0,1095.0,1041.0,4.0,6.0,,,新概況 r02
2019,熊本,9.0,1106.0,1093.0,31.0,44.0,,,新概況 r02
2019,大分,27.0,2726.0,2001.0,66.0,60.0,,,新概況 r02
2019,宮崎,2.0,,,,,,,新概況 r02
2019,鹿児島,2.0,,,,,,,新概況 r02
2019,沖縄,1.0,,,,,,,新概況 r02
2020,北海道,12.0,2936.0,3071.0,135.0,155.0,,,新概況 r03
2020,青森,16.0,3755.0,4244.0,48.0,53.0,,,新概況 r03
2020,岩手,17.0,3362.0,3095.0,145.0,168.0,,,新概況 r03
2020,宮城,30.0,7173.0,6758.0,55.0,149.0,,,新概況 r03
2020,秋田,28.0,16216.0,12696.0,208.0,239.0,,,新概況 r03
2020,山形,49.0,8267.0,9125.0,251.0,364.0,,,新概況 r03
2020,福島,58.0,12810.0,10416.0,95.0,130.0,,,新概況 r03
2020,茨城,34.0,2756.0,2118.0,89.0,81.0,,,新概況 r03
2020,栃木,25.0,6888.0,3754.0,173.0,90.0,,,新概況 r03
2020,群馬,20.0,2349.0,1584.0,21.0,26.0,,,新概況 r03
2020,埼玉,27.0,17901.0,7032.0,151.0,67.0,,,新概況 r03
2020,新潟,88.0,34929.0,33222.0,615.0,1012.0,,,新概況 r03
2020,長野,72.0,8515.0,7941.0,149.0,168.0,,,新概況 r03
2020,千葉,28.0,12404.0,4583.0,145.0,98.0,,,新概況 r03
2020,東京,11.0,1332.0,1368.0,14.0,35.0,,,新概況 r03
2020,神奈川,9.0,460.0,607.0,8.0,15.0,,,新概況 r03
2020,山梨,10.0,1377.0,1137.0,15.0,40.0,,,新概況 r03
2020,富山,16.0,4205.0,3994.0,106.0,206.0,,,新概況 r03
2020,石川,21.0,8627.0,7694.0,109.0,140.0,,,新概況 r03
2020,福井,19.0,2498.0,3567.0,173.0,315.0,,,新概況 r03
2020,岐阜,37.0,3484.0,3472.0,180.0,107.0,,,新概況 r03
2020,静岡,17.0,2506.0,2731.0,169.0,198.0,,,新概況 r03
2020,愛知,30.0,11639.0,5662.0,111.0,77.0,,,新概況 r03
2020,三重,18.0,1780.0,2320.0,46.0,85.0,,,新概況 r03
2020,滋賀,26.0,2921.0,1591.0,41.0,51.0,,,新概況 r03
2020,京都,34.0,111016.0,60963.0,2469.0,1287.0,,,新概況 r03
2020,大阪,13.0,718.0,910.0,17.0,28.0,,,新概況 r03
2020,兵庫,56.0,93238.0,47206.0,5703.0,2502.0,,,新概況 r03
2020,奈良,26.0,2975.0,2465.0,415.0,168.0,,,新概況 r03
2020,和歌山,13.0,2081.0,1520.0,89.0,73.0,,,新概況 r03
2020,鳥取,13.0,530.0,667.0,40.0,41.0,,,新概況 r03
2020,島根,22.0,1622.0,1840.0,99.0,114.0,,,新概況 r03
2020,岡山,37.0,2109.0,2052.0,56.0,55.0,,,新概況 r03
2020,広島,34.0,7389.0,6362.0,211.0,224.0,,,新概況 r03
2020,山口,28.0,4128.0,7750.0,1806.0,3957.0,,,新概況 r03
2020,徳島,14.0,352.0,374.0,20.0,23.0,,,新概況 r03
2020,香川,5.0,907.0,1022.0,10.0,13.0,,,新概況 r03
2020,愛媛,25.0,1398.0,1443.0,10.0,24.0,,,新概況 r03
2020,高知,16.0,3415.0,3017.0,42.0,60.0,,,新概況 r03
2020,福岡,40.0,2490.0,2917.0,151.0,176.0,,,新概況 r03
2020,佐賀,21.0,2584.0,2958.0,81.0,87.0,,,新概況 r03
2020,長崎,11.0,832.0,775.0,4.0,6.0,,,新概況 r03
2020,熊本,8.0,879.0,864.0,,,,,新概況 r03
2020,大分,26.0,2132.0,1566.0,5.0,3.0,,,新概況 r03
2020,宮崎,2.0,,,,,,,新概況 r03
2020,鹿児島,1.0,,,,,,,新概況 r03
2020,沖縄,1.0,,,,,,,新概況 r03
2021,北海道,14.0,14.0,3016.0,3174.0,228.0,216.0,7.0,新概況 r04
2021,青森,19.0,17.0,3224.0,3716.0,74.0,81.0,2.2,新概況 r04
2021,岩手,22.0,16.0,2567.0,2338.0,125.0,135.0,4.6,新概況 r04
2021,宮城,29.0,27.0,6562.0,6425.0,142.0,342.0,2.1,新概況 r04
2021,秋田,35.0,27.0,16790.0,12834.0,321.0,381.0,1.9,新概況 r04
2021,山形,53.0,48.0,9507.0,9398.0,399.0,574.0,4.0,新概況 r04
2021,福島,66.0,61.0,11829.0,10025.0,198.0,262.0,1.6,新概況 r04
2021,茨城,41.0,25.0,1027.0,1160.0,73.0,114.0,6.7,新概況 r04
2021,栃木,34.0,21.0,6435.0,3595.0,255.0,136.0,3.8,新概況 r04
2021,群馬,26.0,19.0,1466.0,1486.0,53.0,40.0,3.5,新概況 r04
2021,埼玉,35.0,28.0,18872.0,7157.0,192.0,127.0,1.0,新概況 r04
2021,新潟,91.0,85.0,34425.0,32649.0,905.0,1192.0,2.6,新概況 r04
2021,長野,80.0,71.0,8307.0,7996.0,181.0,262.0,2.1,新概況 r04
2021,千葉,37.0,27.0,11690.0,4375.0,111.0,89.0,0.9,新概況 r04
2021,東京,17.0,8.0,1165.0,1218.0,11.0,10.0,0.9,新概況 r04
2021,神奈川,13.0,8.0,653.0,794.0,9.0,18.0,1.3,新概況 r04
2021,山梨,14.0,9.0,1391.0,1096.0,22.0,34.0,1.6,新概況 r04
2021,富山,21.0,16.0,3845.0,3580.0,103.0,271.0,2.6,新概況 r04
2021,石川,38.0,21.0,2169.0,2939.0,95.0,155.0,4.2,新概況 r04
2021,福井,36.0,20.0,2348.0,3348.0,268.0,508.0,10.3,新概況 r04
2021,岐阜,48.0,43.0,4176.0,4186.0,263.0,142.0,5.9,新概況 r04
2021,静岡,28.0,18.0,2434.0,2760.0,265.0,296.0,9.8,新概況 r04
2021,愛知,46.0,33.0,12767.0,7791.0,102.0,107.0,0.8,新概況 r04
2021,三重,35.0,19.0,1760.0,2539.0,42.0,81.0,2.4,新概況 r04
2021,滋賀,48.0,30.0,2806.0,1932.0,47.0,72.0,1.7,新概況 r04
2021,京都,42.0,33.0,71637.0,37196.0,1484.0,1059.0,2.0,新概況 r04
2021,大阪,19.0,16.0,673.0,852.0,47.0,111.0,6.5,新概況 r04
2021,兵庫,74.0,55.0,86733.0,43726.0,6953.0,3289.0,7.4,新概況 r04
2021,奈良,33.0,25.0,2733.0,2678.0,653.0,309.0,19.3,新概況 r04
2021,和歌山,17.0,14.0,1872.0,1481.0,69.0,61.0,3.5,新概況 r04
2021,鳥取,20.0,15.0,569.0,733.0,66.0,90.0,10.3,新概況 r04
2021,島根,34.0,27.0,1664.0,1939.0,165.0,189.0,9.0,新概況 r04
2021,岡山,45.0,38.0,1860.0,1997.0,58.0,62.0,3.0,新概況 r04
2021,広島,50.0,29.0,4318.0,4297.0,194.0,232.0,4.3,新概況 r04
2021,山口,38.0,30.0,4824.0,8866.0,3080.0,7002.0,39.0,新概況 r04
2021,徳島,22.0,12.0,215.0,219.0,23.0,26.0,9.7,新概況 r04
2021,香川,7.0,6.0,630.0,830.0,6.0,8.0,1.0,新概況 r04
2021,愛媛,37.0,27.0,1175.0,1295.0,20.0,36.0,1.6,新概況 r04
2021,高知,18.0,15.0,3098.0,2822.0,158.0,198.0,4.8,新概況 r04
2021,福岡,57.0,37.0,2575.0,2633.0,197.0,157.0,7.1,新概況 r04
2021,佐賀,24.0,22.0,2527.0,3078.0,95.0,133.0,3.6,新概況 r04
2021,長崎,14.0,10.0,760.0,779.0,16.0,21.0,2.1,新概況 r04
2021,熊本,11.0,9.0,669.0,647.0,1.0,1.0,0.1,新概況 r04
2021,大分,32.0,27.0,1826.0,1477.0,22.0,14.0,1.2,新概況 r04
2021,宮崎,2.0,2.0,85.0,92.0,,,0.0,新概況 r04
2021,鹿児島,2.0,2.0,82.0,128.0,,,0.0,新概況 r04
2021,沖縄,,,,,,,,新概況 r04
