year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1963,三重,1502.4,,
1963,京都,2059.0,,
1963,佐賀,900.4,,
1963,兵庫,4148.4,,
1963,北海道,5118.8,,
1963,千葉,2543.6,,
1963,和歌山,1017.0,,
1963,埼玉,2781.4,,
1963,大分,1208.2,,
1963,大阪,6196.2,,
1963,奈良,808.0,,
1963,宮城,1749.0,,
1963,宮崎,1102.6,,
1963,富山,1028.2,,
1963,山口,1567.2,,
1963,山形,1286.2,,
1963,山梨,770.6,,
1963,岐阜,1675.2,,
1963,岡山,1655.0,,
1963,岩手,1426.2,,
1963,島根,848.8,,
1963,広島,2242.2,,
1963,徳島,827.8,,
1963,愛媛,1468.0,,
1963,愛知,4561.8,,
1963,新潟,2416.2,,
1963,東京,10395.0,,
1963,栃木,1518.8,,
1963,沖縄,913.6,,
1963,滋賀,849.0,,
1963,熊本,1805.0,,
1963,石川,977.2,,
1963,神奈川,4035.8,,
1963,福井,751.8,,
1963,福岡,3981.8,,
1963,福島,2010.8,,
1963,秋田,1302.4,,
1963,群馬,1594.8,,
1963,茨城,2052.4,,
1963,長崎,1688.6,,
1963,長野,1967.2,,
1963,青森,1421.0,,
1963,静岡,2850.2,,
1963,香川,908.2,,
1963,高知,829.8,,
1963,鳥取,587.6,,
1963,鹿児島,1897.6,,
1964,三重,1508.2,,
1964,京都,2081.0,,
1964,佐賀,886.2,,
1964,兵庫,4229.2,,
1964,北海道,5145.4,,
1964,千葉,2622.8,,
1964,和歌山,1022.0,,
1964,埼玉,2898.2,,
1964,大分,1197.6,,
1964,大阪,6426.6,,
1964,奈良,817.0,,
1964,宮城,1751.0,,
1964,宮崎,1091.8,,
1964,富山,1026.6,,
1964,山口,1555.6,,
1964,山形,1274.6,,
1964,山梨,766.8,,
1964,岐阜,1687.6,,
1964,岡山,1650.0,,
1964,岩手,1418.6,,
1964,島根,835.4,,
1964,広島,2261.6,,
1964,徳島,821.4,,
1964,愛媛,1457.0,,
1964,愛知,4680.4,,
1964,新潟,2407.6,,
1964,東京,10632.0,,
1964,栃木,1520.4,,
1964,沖縄,923.8,,
1964,滋賀,851.0,,
1964,熊本,1788.0,,
1964,石川,978.6,,
1964,神奈川,4233.4,,
1964,福井,751.4,,
1964,福岡,3973.4,,
1964,福島,1997.4,,
1964,秋田,1291.2,,
1964,群馬,1600.4,,
1964,茨城,2054.2,,
1964,長崎,1664.8,,
1964,長野,1962.6,,
1964,青森,1419.0,,
1964,静岡,2881.6,,
1964,香川,904.6,,
1964,高知,821.4,,
1964,鳥取,583.8,,
1964,鹿児島,1875.8,,
1965,三重,1514.0,,
1965,京都,2103.0,,
1965,佐賀,872.0,,
1965,兵庫,4310.0,,
1965,北海道,5172.0,,
1965,千葉,2702.0,,
1965,和歌山,1027.0,,
1965,埼玉,3015.0,,
1965,大分,1187.0,,
1965,大阪,6657.0,,
1965,奈良,826.0,,
1965,宮城,1753.0,,
1965,宮崎,1081.0,,
1965,富山,1025.0,,
1965,山口,1544.0,,
1965,山形,1263.0,,
1965,山梨,763.0,,
1965,岐阜,1700.0,,
1965,岡山,1645.0,,
1965,岩手,1411.0,,
1965,島根,822.0,,
1965,広島,2281.0,,
1965,徳島,815.0,,
1965,愛媛,1446.0,,
1965,愛知,4799.0,,
1965,新潟,2399.0,,
1965,東京,10869.0,,
1965,栃木,1522.0,,
1965,沖縄,934.0,,
1965,滋賀,853.0,,
1965,熊本,1771.0,,
1965,石川,980.0,,
1965,神奈川,4431.0,,
1965,福井,751.0,,
