year,prefecture,production_quantity_kl
2007,北海道,5044.0
2007,青森,4256.0
2007,岩手,4400.0
2007,宮城,7169.0
2007,秋田,17286.0
2007,山形,8876.0
2007,福島,14215.0
2007,茨城,4744.0
2007,栃木,7936.0
2007,群馬,3076.0
2007,埼玉,16911.0
2007,新潟,41708.0
2007,長野,9048.0
2007,千葉,7053.0
2007,東京,1955.0
2007,神奈川,962.0
2007,山梨,10466.0
2007,富山,7923.0
2007,石川,6780.0
2007,福井,2863.0
2007,岐阜,4463.0
2007,静岡,3987.0
2007,愛知,18443.0
2007,三重,3269.0
2007,滋賀,3893.0
2007,京都,76415.0
2007,大阪,1219.0
2007,兵庫,154109.0
2007,奈良,4986.0
2007,和歌山,3373.0
2007,鳥取,914.0
2007,島根,1943.0
2007,岡山,4994.0
2007,広島,12782.0
2007,山口,2246.0
2007,徳島,460.0
2007,香川,1282.0
2007,愛媛,2006.0
2007,高知,5693.0
2007,福岡,4433.0
2007,佐賀,3604.0
2007,長崎,1146.0
2007,熊本,2712.0
2007,大分,4316.0
2007,宮崎,
2007,鹿児島,
2007,沖縄,
2008,北海道,4882.0
2008,青森,4243.0
2008,岩手,4193.0
2008,宮城,7230.0
2008,秋田,15428.0
2008,山形,8232.0
2008,福島,14002.0
2008,茨城,4623.0
2008,栃木,7650.0
2008,群馬,2994.0
2008,埼玉,18204.0
2008,新潟,40904.0
2008,長野,8812.0
2008,千葉,6133.0
2008,東京,1953.0
2008,神奈川,909.0
2008,山梨,12307.0
2008,富山,6306.0
2008,石川,5826.0
2008,福井,2611.0
2008,岐阜,4391.0
2008,静岡,3887.0
2008,愛知,17643.0
2008,三重,3039.0
2008,滋賀,3640.0
2008,京都,74529.0
2008,大阪,1166.0
2008,兵庫,151019.0
2008,奈良,4303.0
2008,和歌山,3501.0
2008,鳥取,931.0
2008,島根,1895.0
2008,岡山,4291.0
2008,広島,11592.0
2008,山口,1923.0
2008,徳島,474.0
2008,香川,1204.0
2008,愛媛,2136.0
2008,高知,5316.0
2008,福岡,3569.0
2008,佐賀,3430.0
2008,長崎,616.0
2008,熊本,2108.0
2008,大分,3718.0
2008,宮崎,
2008,鹿児島,
2008,沖縄,
2009,北海道,4581.0
2009,青森,4087.0
2009,岩手,4001.0
2009,宮城,6696.0
2009,秋田,15564.0
2009,山形,7989.085
2009,福島,13655.0
2009,茨城,4090.0
2009,栃木,6799.417
2009,群馬,2770.0
2009,埼玉,18657.0
2009,新潟,36284.701
2009,長野,8704.0
2009,千葉,6540.0
2009,東京,1643.0
2009,神奈川,662.0
2009,山梨,11618.0
2009,富山,6197.0
2009,石川,5449.0
2009,福井,2546.0
2009,岐阜,3983.0
2009,静岡,3828.0
2009,愛知,17776.0
2009,三重,2510.0
2009,滋賀,3635.0
2009,京都,75397.0
2009,大阪,1023.0
2009,兵庫,143543.0
2009,奈良,4401.0
2009,和歌山,3293.0
2009,鳥取,941.0
2009,島根,1812.0
2009,岡山,3846.0
2009,広島,10268.0
2009,山口,1990.0
2009,徳島,512.0
2009,香川,1226.0
2009,愛媛,1780.2
2009,高知,5016.0
2009,福岡,3913.0
2009,佐賀,3143.0
2009,長崎,1006.0
2009,熊本,
2009,大分,3658.0
2009,宮崎,
2009,鹿児島,
2009,沖縄,
2010,北海道,
2010,青森,3912.0
2010,岩手,3622.0
2010,宮城,6159.0
2010,秋田,14990.0
2010,山形,8096.0
2010,福島,12076.0
2010,茨城,3719.0
2010,栃木,7311.0
2010,群馬,2856.0
2010,埼玉,17178.0
2010,新潟,35826.0
2010,長野,8260.0
2010,千葉,6353.0
2010,東京,1473.0
2010,神奈川,786.0
2010,山梨,11977.0
2010,富山,5622.0
2010,石川,5454.0
2010,福井,2481.0
2010,岐阜,3911.0
2010,静岡,3760.0
2010,愛知,15850.0
2010,三重,1938.0
2010,滋賀,3126.0
2010,京都,71554.0
2010,大阪,1058.0
