year,prefecture,production_quantity_kl
1997,三重,9633.0
1997,京都,126490.0
1997,佐賀,9433.0
1997,兵庫,222736.0
1997,北海道,10102.0
1997,千葉,4089.0
1997,和歌山,6857.0
1997,埼玉,22199.0
1997,大分,9620.0
1997,大阪,7627.0
1997,奈良,10805.0
1997,宮城,8993.0
1997,富山,11798.0
1997,山口,5843.0
1997,山形,15510.0
1997,山梨,3836.0
1997,岐阜,12442.0
1997,岡山,14094.0
1997,岩手,9154.0
1997,島根,5283.0
1997,広島,27475.0
1997,徳島,3777.0
1997,愛媛,7170.0
1997,愛知,31380.0
1997,新潟,59897.0
1997,東京,33802.0
1997,栃木,8703.0
1997,滋賀,9136.0
1997,熊本,4713.0
1997,石川,13694.0
1997,神奈川,1527.0
1997,福井,5426.0
1997,福岡,12943.0
1997,福島,24965.0
1997,秋田,37025.0
1997,群馬,6564.0
1997,茨城,9599.0
1997,長崎,2604.0
1997,長野,18798.0
1997,青森,7413.0
1997,静岡,4798.0
1997,香川,6053.0
1997,高知,10648.0
1997,鳥取,2691.0
1998,三重,8536.0
1998,京都,115633.0
1998,佐賀,8006.0
1998,兵庫,207123.0
1998,北海道,8733.0
1998,千葉,4102.0
1998,和歌山,5162.0
1998,埼玉,17052.0
1998,大分,9093.0
1998,大阪,6075.0
1998,奈良,8817.0
1998,宮城,7668.0
1998,富山,12270.0
1998,山口,4779.0
1998,山形,13473.0
1998,山梨,3175.0
1998,岐阜,10042.0
1998,岡山,12370.0
1998,岩手,8394.0
1998,島根,4784.0
1998,広島,23544.0
1998,徳島,3250.0
1998,愛媛,5661.0
1998,愛知,28900.0
1998,新潟,53143.0
1998,東京,28165.0
1998,栃木,7476.0
1998,滋賀,8050.0
1998,熊本,4373.0
1998,石川,12175.0
1998,神奈川,1435.0
1998,福井,4533.0
1998,福岡,11876.0
1998,福島,22448.0
1998,秋田,32379.0
1998,群馬,5582.0
1998,茨城,8375.0
1998,長崎,2406.0
1998,長野,15372.0
1998,青森,6901.0
1998,静岡,4370.0
1998,香川,5445.0
1998,高知,9965.0
1998,鳥取,2204.0
1999,三重,6652.0
1999,京都,111958.0
1999,佐賀,7918.0
1999,兵庫,212288.0
1999,北海道,9534.0
1999,千葉,4059.0
1999,和歌山,5381.0
1999,埼玉,19062.0
1999,大分,7267.0
1999,大阪,5200.0
1999,奈良,7693.0
1999,宮城,7948.0
1999,富山,11911.0
1999,山口,3590.0
1999,山形,13011.0
1999,山梨,3044.0
1999,岐阜,8556.0
1999,岡山,11641.0
