year,prefecture,sales_quantity_kl
1963,北海道,67006.0
1964,北海道,72724.0
1965,北海道,69747.0
1966,北海道,78019.0
1967,北海道,75147.0
1968,北海道,76037.0
1969,北海道,78376.0
1970,北海道,76590.0
1971,北海道,73529.0
1972,北海道,74275.0
1973,北海道,73945.0
1974,北海道,72786.0
1975,北海道,70327.0
1976,北海道,62592.0
1977,北海道,59867.0
1978,北海道,54361.0
1979,北海道,54329.0
1980,北海道,50099.0
1981,北海道,49741.0
1982,北海道,48217.0
1983,北海道,45277.0
1984,北海道,38164.0
1985,北海道,38181.0
1986,北海道,39892.0
1987,北海道,41881.0
1988,北海道,42560.0
1989,北海道,40662.0
1990,北海道,43021.0
1991,北海道,44051.0
1992,北海道,44403.0
1993,北海道,45526.0
1994,北海道,43821.0
1995,北海道,44482.0
1996,北海道,43841.0
1997,北海道,40404.0
1998,北海道,40550.0
1999,北海道,37985.0
2000,北海道,36435.0
2001,北海道,35413.0
2002,北海道,34941.0
2003,北海道,32723.0
2004,北海道,29810.0
2005,北海道,30537.0
2006,北海道,28327.0
2007,北海道,27005.0
2008,北海道,25845.0
2009,北海道,25225.0
2010,北海道,24053.0
2011,北海道,24539.0
2012,北海道,23996.0
2013,北海道,24837.0
2014,北海道,22965.0
2015,北海道,22928.0
2016,北海道,21842.0
2017,北海道,21438.0
2018,北海道,20308.0
2019,北海道,19513.0
2020,北海道,17379.0
2021,北海道,16566.0
2022,北海道,16688.0
2023,北海道,16815.0
1963,青森,17091.0
1964,青森,18775.0
1965,青森,20469.0
1966,青森,23513.0
1967,青森,24772.0
1968,青森,25438.0
1969,青森,26577.0
1970,青森,26519.0
1971,青森,27268.0
1972,青森,27886.0
1973,青森,27688.0
1974,青森,26816.0
1975,青森,27896.0
1976,青森,26192.0
1977,青森,26232.0
1978,青森,24241.0
1979,青森,24234.0
1980,青森,22412.0
1981,青森,22061.0
1982,青森,21973.0
1983,青森,21202.0
1984,青森,18855.0
1985,青森,18661.0
1986,青森,19046.0
1987,青森,18762.0
1988,青森,18527.0
1989,青森,18022.0
1990,青森,18342.0
1991,青森,18345.0
1992,青森,18455.0
1993,青森,18284.0
1994,青森,17354.0
1995,青森,16831.0
1996,青森,16193.0
1997,青森,14520.0
1998,青森,14102.0
1999,青森,13353.0
2000,青森,12507.0
2001,青森,12017.0
2002,青森,11706.801
2003,青森,11138.0
2004,青森,9673.0
2005,青森,9508.0
2006,青森,9057.0
2007,青森,8697.0
2008,青森,8353.0
2009,青森,8186.0
2010,青森,7900.0
2011,青森,7760.0
2012,青森,7545.0
2013,青森,7479.0
2014,青森,7040.0
2015,青森,6910.0
2016,青森,6830.0
2017,青森,6561.0
2018,青森,6193.0
2019,青森,6009.0
2020,青森,5440.0
2021,青森,5313.0
2022,青森,6048.0
2023,青森,5004.0
1963,岩手,18326.0
1964,岩手,20161.0
1965,岩手,20871.0
1966,岩手,23964.0
1967,岩手,23589.0
1968,岩手,25056.0
1969,岩手,25851.0
1970,岩手,26466.0
